VAR3	StepID	x	y	finalcl	STEPLENGTH	TURNANGLE	BEARING	BRGPREV	NETDISP	arrival_bearing	next_bearing	bearing2targetmead	dist2targetmead	observed	landcover	bearing2pixel	bearing2gap	dist2gap	strata	Xdp	Xtm	XtmDtm_0	XtmDtm_pos0_5	XtmDtm_neg0_5	Xcg	XcgDcg_0	XcgDcg_pos0_5	XcgDcg_neg0_5	conifer	decid	meadow
10	66	386795.8252	5952014.65	0	10	-4.73E+00	234.498463	234.498463	620.1595406	-2.521973811	-2.521973753	-2.521973753	10.00000086	1	7	-2.35619449	-1.743120942	121.4485868	62	0.986290051	0.98629006	0.98629006	3.118923158	0.311892289	0.817883414	0.817883414	9.013379019	0.074215594	0	0	1
11	2	389918.5937	5953632.813	0	9.676698739	-23.2316	146.226311	169.457994	10	-1.386803647	-0.981334387	-0.871538047	79.55608822	1	4	-0.785398163	-1.538422273	197.9170173	303	0.824541204	0.996292254	0.996292254	8.886351013	0.111699195	0.729624176	0.729624176	10.26457056	0.051863001	0	1	0
11	3	389923.9732	5953624.77	0	10	-9.14007	137.0862389	146.226311	19.27382234	-0.981334387	-0.821809631	-0.856378092	69.94569369	1	6	-0.785398163	-1.565385372	189.7724281	304	0.980865831	0.997481982	0.997481982	8.342295139	0.119268174	0.710922534	0.710922534	9.793520512	0.051606657	0	0	0
11	4	389930.7821	5953617.446	0	10	0	137.0862389	137.0862389	28.83531317	-0.821809631	-0.821809631	-0.862142933	59.95266694	1	4	-0.785398163	-1.60247799	182.5374613	305	0.999337176	0.997056565	0.997056565	7.720120001	0.128770252	0.684353368	0.684353368	9.246053712	0.050652911	0	1	0
11	5	389937.5911	5953610.122	0	10	-4.90E-10	137.0862389	137.0862389	38.61955908	-0.821809631	-0.821810312	-0.870213556	49.9624296	1	4	-0.785398163	-1.642571756	175.5741296	306	0.999337176	0.99640533	0.99640533	7.043002082	0.140965965	0.654576831	0.654576831	8.673430273	0.049400389	0	1	0
11	6	389944.4001	5953602.798	0	9.99862244	0.208109	137.2943487	137.0862389	48.49191068	-0.821810312	-0.825441799	-0.882316883	39.9770652	1	4	-0.785398163	-1.685900649	168.9160197	307	0.999337151	0.995307056	0.995307056	6.293069632	0.157416999	0.62121628	0.62121628	8.07380485	0.047797745	0	1	0
11	7	389951.1814	5953595.451	0	10	4.34425	141.6385991	137.2943487	58.41057156	-0.825441799	-0.901263724	-0.901263543	29.99999815	1	4	-0.785398163	-1.732545098	162.5728469	308	0.999198361	0.993295113	0.993295113	5.440501228	0.181350052	0.584001447	0.584001447	7.446255407	0.045802577	0	1	0
11	8	389957.3876	5953587.61	0	10	3.83E-09	141.6385991	141.6385991	68.40393575	-0.901263724	-0.901263802	-0.901263453	19.99999594	1	6	-0.785398163	-1.77991891	156.0085796	309	0.993295092	0.993295123	0.993295123	4.442150385	0.222107564	0.544904805	0.544904805	6.806045986	0.043626101	0	0	0
11	9	389963.5938	5953579.769	0	10	-4.10E-09	141.6385991	141.6385991	78.39899224	-0.901263802	-0.901263103	-0.901263103	9.999994362	1	7	-0.785398163	-1.83132705	149.8246417	310	0.993295083	0.993295164	0.993295164	3.141074221	0.314107599	0.501098293	0.501098293	6.133587252	0.040938441	0	0	1
12	2	389038.2451	5954155.342	0	9.937905958	12.84581	318.4850966	305.6392852	10	2.519570041	2.295367933	1.91904653	218.9274345	1	4	2.35619449	2.163714704	23.70344951	474	0.986683873	0.905962778	0.905962778	13.4048034	0.061229436	0.981532887	0.981532887	4.778709514	0.20160397	0	1	0
12	3	389031.6581	5954162.784	0	9.991160703	4.556586	323.0416832	318.4850966	19.81276246	2.295367933	2.21584052	1.901630739	209.7167582	1	10	2.35619449	2.069808615	13.91284225	485	0.998150635	0.898452658	0.898452658	13.01103262	0.062040977	0.959271082	0.959271082	3.57807371	0.257177768	0	0	0
12	4	389025.6511	5954170.767	0	10	4.1835	327.2251837	323.0416832	29.68165258	2.21584052	2.142825124	1.886208928	200.2385653	1	4	2.35619449	1.723426925	4.282364432	492	0.99016654	0.891574827	0.891574827	12.61628992	0.063006294	0.806393919	0.806393919	1.668741459	0.389677592	0	1	0
12	5	389020.2377	5954179.175	0	9.984736668	-1.72905	325.4961336	327.2251837	39.53118775	2.142825124	2.173001958	1.872891031	190.5829281	1	4	2.35619449	0.885399162	7.523615258	493	0.977322987	0.885464617	0.885464617	12.22399628	0.064140038	0.09983441	0.09983441	0.273837894	0.036397116	0	1	0
12	6	389014.5817	5954187.404	0	10	-5.79488	319.7012436	325.4961336	49.45848074	2.173001958	2.274142529	1.85658846	181.0685261	1	4	2.35619449	2.92398486	81.50385429	494	0.983267122	0.877771373	0.877771373	11.81144131	0.065231885	0.843091306	0.843091306	7.6113849	0.093386809	0	1	0
12	7	389008.114	5954195.031	0	9.961436972	-22.5359	297.1652845	319.7012436	59.45836662	2.274142529	2.667469261	1.833005838	171.9755123	1	4	2.35619449	3.00607407	73.79054891	495	0.996635626	0.866230393	0.866230393	11.35969637	0.06605415	0.79615667	0.79615667	6.839099278	0.092682591	0	1	0
12	8	388999.2514	5954199.579	0	9.906710864	3.233147	300.398432	297.1652845	68.75074466	2.667469261	2.611039624	1.788380741	165.4503695	1	4	2.35619449	3.05741362	64.47969121	496	0.951943916	0.843078733	0.843078733	10.84431202	0.065544199	0.764056234	0.764056234	6.135314052	0.095151108	0	1	0
12	9	388990.7066	5954204.591	0	10	14.08707	314.4855043	300.398432	78.30711582	2.611039624	2.365174017	1.742661586	158.8770995	1	4	2.35619449	3.134259178	55.70805798	497	0.967702348	0.817619021	0.817619021	10.30579828	0.064866481	0.712273271	0.712273271	5.316253192	0.095430596	0	1	0
12	10	388983.5723	5954211.599	0	9.884918656	-8.54808	305.9374147	314.4855043	88.3070566	2.365174017	2.51436649	1.704003119	150.8656558	1	6	2.35619449	-3.006564878	49.01846807	498	0.999959684	0.7947557	0.7947557	9.761776134	0.064705092	0.605481224	0.605481224	4.239167211	0.086481022	0	0	0
